2      60.1639        47.51           -1
1      42.2403         65.4           -1
1      24.6804        44.17           -1
0  0  0  0
0  0  0  0
0  0  0  0
2      57.5057        38.46           -1
2      79.8104        68.96           -1
2      65.6923        54.62           -1
1       68.3436        100.41            -1
1      14.6073        48.15           -1
1      33.4843        58.88           -1
1      48.3904        71.52           -1
0  0  0  0
0  0  0  0
2      66.5339        63.51           -1
2      26.9173        25.79           -1
1      59.1655        89.65           -1
1       40.468        60.69           -1
1      33.3184        64.14           -1
0  0  0  0
0  0  0  0
0  0  0  0
0  0  0  0
0  0  0  0
0  0  0  0
2      65.9549        57.97           -1
1      63.9133        87.58           -1
2      72.1127        62.67           -1
2      73.7822        64.54           -1
2      44.6629        41.17           -1
2      88.8364        86.17           -1
0  0  0  0
1      31.4482        59.41           -1
2      75.8809        65.11           -1
0  0  0  0
0  0  0  0
0  0  0  0
0  0  0  0
0  0  0  0
1      36.5917        63.49           -1
1      66.4338        93.63           -1
1      26.0576        59.13           -1
1      43.8909        64.21           -1
1       45.293        71.33           -1
1       75.1964        100.43            -1
2      31.4618        28.73           -1
0  0  0  0
0  0  0  0
0  0  0  0
0  0  0  0
1      40.2757        68.74           -1
1       49.475        79.17           -1
2      42.3011        41.85           -1
2      40.5037        24.71           -1
2      49.0653        48.02           -1
0  0  0  0
0  0  0  0
0  0  0  0
0  0  0  0
0  0  0  0
0  0  0  0
1      16.5371        46.46           -1
0  0  0  0
2      36.4582        29.72           -1
2       54.852        50.75           -1
2      56.1004        38.39           -1
2      74.2813        57.33           -1
2      68.2355        60.11           -1
0  0  0  0
0  0  0  0
0  0  0  0
1      52.2033         84.3           -1
1      36.3044        66.27           -1
2      35.4877        32.41           -1
1       15.613        37.98           -1
1       55.461        79.68           -1
1       81.9936           110            -1
1      39.4099        65.95           -1
0  0  0  0
2      66.9732        55.82           -1
2      67.8682        65.78           -1
2      43.6257        36.29           -1
2       78.158        65.71           -1
1      38.0152        71.67           -1
0  0  0  0
0  0  0  0
0  0  0  0
0  0  0  0
2      58.3643        42.13           -1
