2      86.2017        71.29           -1
1      39.9098        69.64           -1
1      45.4312        68.75           -1
0  0  0  0
0  0  0  0
0  0  0  0
2      78.9556         72.4           -1
2       47.139        44.05           -1
2      26.5288        21.58           -1
1      31.4422        62.06           -1
1       80.4022        104.94            -1
1       40.189        61.67           -1
1       68.3436        100.41            -1
0  0  0  0
0  0  0  0
2      46.9745        28.35           -1
2      41.5699        37.22           -1
1       64.036        89.29           -1
1      47.5592        77.47           -1
1      14.4394        51.86           -1
0  0  0  0
0  0  0  0
0  0  0  0
0  0  0  0
0  0  0  0
0  0  0  0
2      52.9301        43.38           -1
1      27.6359        50.51           -1
2      35.5315        24.82           -1
2      94.1582        78.04           -1
2      35.4877        32.41           -1
2      46.9212        32.32           -1
0  0  0  0
1      45.4946         67.9           -1
2      51.8978        39.24           -1
0  0  0  0
0  0  0  0
0  0  0  0
0  0  0  0
0  0  0  0
1      44.3499        81.41           -1
1      58.7238        82.65           -1
1       55.461        79.68           -1
1      57.7581        83.88           -1
1      48.2072        67.75           -1
1       35.996        58.61           -1
2      48.9207        41.07           -1
0  0  0  0
0  0  0  0
0  0  0  0
0  0  0  0
1      27.9441        59.05           -1
1      34.0514        50.69           -1
2      68.0566        57.83           -1
2      58.0204         52.8           -1
2         83.3        73.97           -1
0  0  0  0
0  0  0  0
0  0  0  0
0  0  0  0
0  0  0  0
0  0  0  0
1       14.539        35.97           -1
0  0  0  0
2      60.4026        52.52           -1
2      74.2628        65.64           -1
2      69.0546        59.27           -1
2      34.8889        35.94           -1
2      36.2911        29.09           -1
0  0  0  0
0  0  0  0
0  0  0  0
1      34.1932        65.29           -1
1      58.6759        81.13           -1
2      46.2769         37.9           -1
1      55.4911        80.55           -1
1      31.4482        59.41           -1
1      33.6888        63.56           -1
1      35.3626        56.32           -1
0  0  0  0
2      62.3103        51.61           -1
2      43.3594        36.82           -1
2      64.1289        50.63           -1
2      68.6564        54.96           -1
1      38.9093        72.67           -1
0  0  0  0
0  0  0  0
0  0  0  0
0  0  0  0
2      67.8653        60.93           -1
