336099.4518	WAITING...
336109.6608	START_LOOP
336109.6643	*****
336109.6647	COASTER
336112.7641	FEEDBACK
336113.7942	ITI
336114.3224	*****
336114.3236	COASTER
336117.3795	FEEDBACK
336118.3921	ITI
336118.9052	*****
336118.9064	COASTER
336121.9625	FEEDBACK
336122.9753	ITI
336123.4882	*****
336123.4894	COASTER
336126.5783	FEEDBACK
336127.5916	ITI
336128.1042	*****
336128.1053	COASTER
336131.1616	FEEDBACK
336132.1746	ITI
336132.6875	*****
336132.688	COASTER
336135.7445	FEEDBACK
336136.7576	ITI
336137.2706	*****
336137.2712	COASTER
336140.3276	FEEDBACK
336141.3405	ITI
336141.8534	*****
336141.8546	COASTER
336144.9109	FEEDBACK
336145.9232	ITI
336146.4364	*****
336146.4376	COASTER
336149.493	FEEDBACK
336150.5066	ITI
336151.0195	*****
336151.0207	COASTER
336154.0766	FEEDBACK
336155.0896	ITI
336155.6024	*****
336155.6036	COASTER
336158.6596	FEEDBACK
336159.6725	ITI
336160.1855	*****
336160.1866	COASTER
336163.2419	FEEDBACK
336164.2556	ITI
336164.7685	*****
336164.7696	COASTER
336167.8256	FEEDBACK
336168.8386	ITI
336169.3515	*****
336169.3526	COASTER
336172.4086	FEEDBACK
336173.4216	ITI
336173.9345	*****
336173.9356	COASTER
336176.9913	FEEDBACK
336178.0046	ITI
336178.5167	*****
336178.5179	COASTER
336181.5739	FEEDBACK
336182.5876	ITI
336183.1003	*****
336183.1009	COASTER
336186.1576	FEEDBACK
336187.1699	ITI
336187.6832	*****
336187.6844	COASTER
336190.7406	FEEDBACK
336191.7536	ITI
336192.2659	*****
336192.267	COASTER
336195.3232	FEEDBACK
336196.3366	ITI
336196.8495	*****
336196.8506	COASTER
336199.9065	FEEDBACK
336200.9196	ITI
336201.4324	*****
336201.433	COASTER
336204.4898	FEEDBACK
336205.5026	ITI
336206.0155	*****
336206.0167	COASTER
336209.0727	FEEDBACK
336210.0856	ITI
336210.5985	*****
336210.599	COASTER
336213.6557	FEEDBACK
336214.6687	ITI
336215.1815	*****
336215.1823	COASTER
336218.2552	FEEDBACK
336219.2682	ITI
336219.7811	*****
336219.7822	COASTER
336222.8383	FEEDBACK
336223.8512	ITI
336224.3641	*****
336224.3652	COASTER
336227.4214	FEEDBACK
336228.4334	ITI
336228.9471	*****
336228.9482	COASTER
336232.0044	FEEDBACK
336233.0172	ITI
336233.5301	*****
336233.5312	COASTER
336236.5874	FEEDBACK
336237.6002	ITI
336238.1131	*****
336238.1136	COASTER
336241.1703	FEEDBACK
336242.1832	ITI
336242.6961	*****
336242.6966	COASTER
336245.7533	FEEDBACK
336246.7662	ITI
336247.2791	*****
336247.2802	COASTER
336250.3364	FEEDBACK
336251.3493	ITI
336251.8621	*****
336251.8632	COASTER
336254.9193	FEEDBACK
336255.9322	ITI
336256.4452	*****
336256.4457	COASTER
336259.5023	FEEDBACK
336260.5152	ITI
336261.0281	*****
336261.0293	COASTER
336264.0853	FEEDBACK
336265.0982	ITI
336265.6112	*****
336265.6118	COASTER
336268.6683	FEEDBACK
336269.6812	ITI
336270.1941	*****
336270.1953	COASTER
336273.2514	FEEDBACK
336274.2643	ITI
336274.7763	*****
336274.7774	COASTER
336277.8343	FEEDBACK
336278.8473	ITI
336279.3601	*****
336279.3613	COASTER
336282.4173	FEEDBACK
336283.4305	ITI
336283.9432	*****
336283.9443	COASTER
336287.0003	FEEDBACK
336288.0134	ITI
336288.526	*****
336288.5266	COASTER
336291.5833	FEEDBACK
336292.5963	ITI
336293.1091	*****
336293.1097	COASTER
336296.1663	FEEDBACK
336297.1788	ITI
336297.6921	*****
336297.6933	COASTER
336300.7493	FEEDBACK
336301.7621	ITI
336302.2752	*****
336302.2763	COASTER
336305.3323	FEEDBACK
336306.3453	ITI
336306.8578	*****
336306.8589	COASTER
336309.9149	FEEDBACK
336310.9283	ITI
336311.4412	*****
336311.4418	COASTER
336314.4983	FEEDBACK
336315.5113	ITI
336316.0243	*****
336316.0254	COASTER
336319.0814	FEEDBACK
336320.0943	ITI
336320.6072	*****
336320.6083	COASTER
336323.6643	FEEDBACK
336324.6772	ITI
336325.1902	*****
336325.1913	COASTER
336328.2474	FEEDBACK
336329.2599	ITI
336329.7725	*****
336329.7737	COASTER
336332.8305	FEEDBACK
336333.8433	ITI
336334.3562	*****
336334.3573	COASTER
336337.4131	FEEDBACK
336338.4263	ITI
336338.9393	*****
336338.9405	COASTER
336341.9963	FEEDBACK
