1	tree24.jpg	6	0	0.000000	5	0.000000	0.000000	0.000000	0.000000	0.000000	
2	tree24.jpg	6	1	0.457527	6	1.000000	17.511500	47.290000	-1.000000	1.000000	
3	tree23.jpg	4	0	0.000000	5	0.000000	0.000000	0.000000	0.000000	0.000000	
4	tree23.jpg	4	0	0.740609	6	2.000000	70.446400	57.790000	-1.000000	-1.000000	
5	tree18.jpg	4	0	1.448335	6	2.000000	63.424300	57.080000	-1.000000	-1.000000	
7	tree23.jpg	4	0	0.417076	6	2.000000	67.687300	56.300000	-1.000000	-1.000000	
8	tree12.jpg	6	0	0.000000	5	0.000000	0.000000	0.000000	0.000000	0.000000	
9	tree23.jpg	4	0	0.000000	5	0.000000	0.000000	0.000000	0.000000	0.000000	
10	tree24.jpg	6	0	0.000000	5	0.000000	0.000000	0.000000	0.000000	0.000000	
15	tree21.jpg	4	0	0.721635	6	2.000000	64.128900	50.630000	-1.000000	-1.000000	
16	tree23.jpg	4	0	0.000000	5	0.000000	0.000000	0.000000	0.000000	0.000000	
17	tree21.jpg	4	0	0.806316	6	2.000000	66.785900	55.090000	-1.000000	-1.000000	
18	tree24.jpg	6	0	0.000000	5	0.000000	0.000000	0.000000	0.000000	0.000000	
19	tree21.jpg	4	0	0.332662	6	2.000000	41.539400	39.720000	-1.000000	-1.000000	
20	tree21.jpg	4	0	0.670582	6	2.000000	78.955600	72.400000	-1.000000	-1.000000	
21	tree29.jpg	6	1	0.719346	6	1.000000	38.027700	62.610000	-1.000000	1.000000	
22	tree18.jpg	4	0	0.542522	6	2.000000	60.029600	51.040000	-1.000000	-1.000000	
23	tree18.jpg	4	0	0.619570	6	2.000000	87.131800	73.580000	-1.000000	-1.000000	
26	tree12.jpg	6	0	0.000000	5	0.000000	0.000000	0.000000	0.000000	0.000000	
27	tree12.jpg	6	1	0.579278	6	1.000000	14.136000	48.550000	-1.000000	1.000000	
28	tree29.jpg	6	0	0.000000	5	0.000000	0.000000	0.000000	0.000000	0.000000	
29	tree29.jpg	6	1	0.315293	6	1.000000	18.265000	43.640000	-1.000000	1.000000	
30	tree24.jpg	6	1	0.499543	6	1.000000	48.824500	76.870000	-1.000000	1.000000	
31	tree29.jpg	6	1	1.007123	6	1.000000	39.728500	62.900000	-1.000000	1.000000	
32	tree12.jpg	6	1	0.806531	6	1.000000	41.218100	61.420000	-1.000000	1.000000	
33	tree23.jpg	4	0	0.851608	6	2.000000	86.201700	71.290000	-1.000000	-1.000000	
34	tree12.jpg	6	0	0.000000	5	0.000000	0.000000	0.000000	0.000000	0.000000	
35	tree12.jpg	6	1	0.335618	6	1.000000	36.203100	66.750000	-1.000000	1.000000	
36	tree18.jpg	4	0	1.317292	6	2.000000	47.493800	33.760000	-1.000000	-1.000000	
38	tree21.jpg	4	0	0.773613	6	2.000000	64.675400	57.320000	-1.000000	-1.000000	
39	tree29.jpg	6	0	0.000000	5	0.000000	0.000000	0.000000	0.000000	0.000000	
40	tree24.jpg	6	1	0.340838	6	1.000000	22.945900	51.960000	-1.000000	1.000000	
41	tree12.jpg	6	0	0.000000	5	0.000000	0.000000	0.000000	0.000000	0.000000	
42	tree12.jpg	6	1	0.279007	6	1.000000	42.098000	71.500000	-1.000000	1.000000	
44	tree23.jpg	4	0	0.377237	6	2.000000	45.131200	37.450000	-1.000000	-1.000000	
45	tree29.jpg	6	1	0.397545	6	1.000000	39.409900	65.950000	-1.000000	1.000000	
